step,type,energy
benzoic_acid,scf,-4.206826921042201E+02
cyclic_1,scf,-9.480816983495105E+02
cyclic_1_prt,scf,-9.484969119218754E+02
cyclic_1_to_2,scf,-2.131621411300845E+03
cyclic_2_prt,scf,-2.132089528081917E+03
cyclic_2_to_3,scf,-2.552311068158514E+03
cyclic_3,scf,-2.552363705572458E+03
cyclic_3_to_4,scf,-2.552350099632047E+03
cyclic_4,scf,-2.552351985226477E+03
cyclic_5,scf,-2.552349663548182E+03
cyclic_5_to_6,scf,-2.552341331240285E+03
cyclic_6,scf,-1.441106149143379E+03
n_isocyano_triphenylphosphorane,scf,-1.183509149568639E+03
triphenylphosphine_oxide,scf,-1.111277725357656E+03
benzoic_acid,gcorr,0.090112
cyclic_1,gcorr,0.088671
cyclic_1_prt,gcorr,0.101866
cyclic_1_to_2,gcorr,0.361025
cyclic_2_prt,gcorr,0.378600
cyclic_2_to_3,gcorr,0.472149
cyclic_3,gcorr,0.473352
cyclic_3_to_4,gcorr,0.475629
cyclic_4,gcorr,0.475367
cyclic_5,gcorr,0.479054
cyclic_5_to_6,gcorr,0.476391
cyclic_6,gcorr,0.211262
n_isocyano_triphenylphosphorane,gcorr,0.250565
triphenylphosphine_oxide,gcorr,0.243497
cyclic_1_to_2_intr,gcorr,0.356831
cyclic_1_to_2_intr,scf,-2.131637283282744E+03
cyclic_2,gcorr,0.362846
cyclic_2,scf,-2.131637175685106E+03
cyclic_2_to_3_intr,gcorr,0.472397
cyclic_2_to_3_intr,scf,-2.552343404032562E+03
